DateTime,Unnamed: 0,SoilMoisture_0.05m,SoilMoisture_0.1m,SoilMoisture_0.2m,SoilMoisture_0.3m,GWETPROF,PRECTOTCORR,T2M,Water_Absorbed_By_Wheat
2022-09-06,5721,0.1019166666666666,0.19575,0.1572048913043477,0.1867916666666666,0.38,0.18,27.14,0.0
2022-09-07,5722,0.1027916666666666,0.2245416666666666,0.1560263768115941,0.1865833333333333,0.38,0.15,24.15,0.0
2022-09-08,5723,0.103125,0.2202083333333333,0.1555026251646903,0.184,0.38,0.18,21.74,0.0
2022-09-09,5724,0.1035416666666666,0.2172083333333333,0.1548138146997929,0.1821249999999999,0.38,3.27,19.73,0.0
2022-09-10,5725,0.1042916666666666,0.2153749999999999,0.1545552391304347,0.1809166666666666,0.38,0.03,20.49,0.0
2022-09-11,5726,0.1059583333333333,0.2137083333333333,0.153873960803689,0.1821249999999999,0.38,0.01,24.73,0.0
2022-09-12,5727,0.1067083333333333,0.2112083333333333,0.1537373550724637,0.1849583333333333,0.38,0.14,25.12,0.0
2022-09-13,5728,0.1070416666666666,0.208875,0.1529814130434782,0.1861249999999999,0.38,1.02,25.92,0.0
2022-09-14,5729,0.1075,0.2266666666666666,0.152018206521739,0.1855833333333333,0.38,1.56,24.76,0.0
2022-09-15,5730,0.1131666666666666,0.2695,0.1513888949275362,0.1845,0.38,1.23,23.67,0.0
2022-09-16,5731,0.1154583333333333,0.259,0.1508404341853798,0.183875,0.38,1.7,20.7,0.0
2022-09-17,5732,0.1166249999999999,0.251375,0.1489474235104669,0.1812083333333333,0.38,0.0,16.43,0.0
2022-09-18,5733,0.1173333333333333,0.2455416666666666,0.151242572463768,0.1792916666666666,0.38,0.0,17.69,0.0
2022-09-19,5734,0.1177916666666666,0.2409166666666666,0.1522712157809983,0.1795833333333333,0.38,0.02,18.8,0.0
2022-09-20,5735,0.1171249999999999,0.2359166666666666,0.1511607890499194,0.1804583333333333,0.38,0.01,17.5,0.0
2022-09-21,5736,0.1164583333333333,0.2310416666666666,0.1517573608895977,0.1801249999999999,0.38,0.0,17.76,0.0
2022-09-22,5737,0.1152083333333333,0.2264583333333333,0.1517995974235104,0.1809583333333333,0.38,0.0,19.27,0.0
2022-09-23,5738,0.1135416666666666,0.2417083333333333,0.1534745978260869,0.1821666666666666,0.38,7.3,19.08,0.0
2022-09-24,5739,0.126625,0.2959166666666666,0.1529138351954053,0.1793333333333333,0.38,8.62,16.44,0.0
2022-09-25,5740,0.1379583333333333,0.2819166666666666,0.1520203925120772,0.1792083333333333,0.4,1.52,14.4,0.0
2022-09-26,5741,0.14225,0.27525,0.1512058315217391,0.18025,0.4,1.02,14.36,0.0
2022-09-27,5742,0.1549166666666666,0.2798333333333333,0.1522444245524296,0.1820833333333333,0.4,6.35,14.55,0.0
2022-09-28,5743,0.1910833333333333,0.308375,0.1557227173913043,0.18725,0.41,7.79,16.23,0.0
2022-09-29,5744,0.2154166666666666,0.3185,0.1511486171497584,0.271625,0.42,16.26,13.48,0.0
2022-09-30,5745,0.2138333333333333,0.308875,0.1506310833333333,0.322625,0.44,1.51,12.52,0.0
2022-10-01,5746,0.206875,0.2987083333333333,0.1503183514492753,0.3140416666666666,0.44,0.02,16.31,0.0
2022-10-02,5747,0.203625,0.2942083333333333,0.1500526505016722,0.30875,0.43,0.07,17.9,0.0
2022-10-03,5748,0.2002916666666666,0.2906249999999999,0.149158822463768,0.305375,0.43,0.03,18.19,0.0
2022-10-04,5749,0.1963333333333333,0.2869583333333333,0.1487168944099378,0.302375,0.43,0.03,18.5,0.0
2022-10-05,5750,0.1923333333333333,0.2832499999999999,0.1495489285714285,0.2990833333333333,0.43,0.08,18.36,0.0
2022-10-06,5751,0.1942916666666666,0.28075,0.1514965760869565,0.2969166666666666,0.43,0.03,18.1,0.0
2022-10-07,5752,0.1915416666666667,0.2781666666666667,0.1491142091201873,0.295375,0.43,0.31,18.24,0.0
2022-10-08,5753,0.190625,0.2761666666666666,0.1586307885763,0.2941249999999999,0.43,1.73,17.46,0.0
2022-10-09,5754,0.188125,0.2740416666666667,0.1703642934782608,0.292,0.43,0.02,17.9,0.0
2022-10-10,5755,0.1855833333333333,0.271875,0.1769242078392621,0.290875,0.42,0.07,18.79,0.0
2022-10-11,5756,0.1830416666666666,0.2695,0.188337518115942,0.2893333333333333,0.42,0.03,18.44,0.0
2022-10-12,5757,0.1804166666666666,0.2675,0.185380554347826,0.2884583333333333,0.42,0.15,18.43,0.0
2022-10-13,5758,0.1777083333333333,0.2652916666666666,0.1822211149538866,0.2868333333333333,0.42,0.61,17.86,0.0
2022-10-14,5759,0.1766666666666666,0.2630416666666667,0.1794006884057971,0.2851666666666666,0.42,0.18,18.39,0.0
2022-10-15,5760,0.178,0.261625,0.1769676449275362,0.2835833333333333,0.42,0.09,18.87,0.0
2022-10-16,5761,0.1769166666666666,0.2599166666666667,0.1751275905797101,0.282875,0.42,0.01,20.95,0.0
2022-10-17,5762,0.1755416666666666,0.2587083333333334,0.1743616666666666,0.2817916666666666,0.42,0.05,20.87,0.0
2022-10-18,5763,0.1731666666666666,0.2567083333333333,0.1735515036231883,0.28125,0.41,0.01,21.05,0.0
2022-10-19,5764,0.169875,0.25425,0.1725212994071145,0.2801666666666667,0.41,1.49,21.53,0.0
2022-10-20,5765,0.1682083333333333,0.252625,0.1718337306896002,0.2792916666666666,0.42,1.66,19.86,0.0
2022-10-21,5766,0.1665,0.2502083333333333,0.1772518115942028,0.2779583333333333,0.42,0.46,20.57,0.0
2022-10-22,5767,0.1643333333333333,0.2480416666666667,0.1841114647215865,0.2760833333333333,0.41,0.1,19.44,0.0
2022-10-23,5768,0.160625,0.2455833333333333,0.1823419980818414,0.274625,0.41,0.18,19.93,0.0
